crop_id,page,page_number,order,label,layout_score,x1,y1,x2,y2,width,height,retried,paddle_text,paddle_score,paddle_n_lines,tess_text,tess_score,tess_n_lines,final_source,final_score,text,n_lines,crop_path
page_0016_004_paragraph_title,page_0016,16,4,paragraph_title,0.689178466796875,774,1478,922,1522,148,44,False,المادة ٤١,0.8851,1,,,0,paddle,0.8851,المادة ٤١,1,./crops\page_0016\page_0016_004_paragraph_title.png
page_0016_005_text,page_0016,16,5,text,0.8223238587379456,359,1535,1341,1721,982,186,False,"كل شخص طبيعي أو اعتباري يدعي بصفته التجارية أمام المحاكم أو يراجع
لمصلحته بالصفة ذاتها الدوائر الإدارية أو المؤسسات العامة، لا يسمح ادعاؤه ولا
تقبل مراجعته ما لم يكن مسجلاً فى سجل التجارة",0.9508,3,,,0,paddle,0.9508,"كل شخص طبيعي أو اعتباري يدعي بصفته التجارية أمام المحاكم أو يراجع
لمصلحته بالصفة ذاتها الدوائر الإدارية أو المؤسسات العامة، لا يسمح ادعاؤه ولا
تقبل مراجعته ما لم يكن مسجلاً فى سجل التجارة",3,./crops\page_0016\page_0016_005_text.png
page_0016_006_number,page_0016,16,6,number,0.7888772487640381,827,1740,874,1775,47,35,True,١٧,0.603,1,"""١",0.33,1,paddle,0.603,١٧,1,./crops\page_0016\page_0016_006_number.png
page_0017_001_paragraph_title,page_0017,17,1,paragraph_title,0.7034907341003418,788,246,935,289,147,43,False,المادة ٤٢,0.8539,1,,,0,paddle,0.8539,المادة ٤٢,1,./crops\page_0017\page_0017_001_paragraph_title.png
page_0017_002_text,page_0017,17,2,text,0.8998294472694397,370,318,1343,495,973,177,False,"تفصل محكمة البداية المدنية في المحافظة التي يوجد فيها سجل التجارة، في
كل خلاف يقع بين أمين سجل التجارة وأصحاب العلاقة، بقرار يتخذ في غرفة
المذاكرة، وعليها إصدار قرارها خلال شهر من تاريخ الادعاء",0.9599,3,,,0,paddle,0.9599,"تفصل محكمة البداية المدنية في المحافظة التي يوجد فيها سجل التجارة، في
كل خلاف يقع بين أمين سجل التجارة وأصحاب العلاقة، بقرار يتخذ في غرفة
المذاكرة، وعليها إصدار قرارها خلال شهر من تاريخ الادعاء",3,./crops\page_0017\page_0017_002_text.png
page_0017_003_text,page_0017,17,3,text,0.8910887837409973,370,500,1344,664,974,164,False,"يخضع قرار محكمة البداية المدنية للطعن بطريق الاستئناف وعلى محكمة
الاستئناف أن تفصل فيه بصورة نهائية وبقرار غير قابل للطعن يصدر خلال
ثلاثة أشهر من تاريخ تقديم الطعن",0.9692,3,,,0,paddle,0.9692,"يخضع قرار محكمة البداية المدنية للطعن بطريق الاستئناف وعلى محكمة
الاستئناف أن تفصل فيه بصورة نهائية وبقرار غير قابل للطعن يصدر خلال
ثلاثة أشهر من تاريخ تقديم الطعن",3,./crops\page_0017\page_0017_003_text.png
page_0017_004_text,page_0017,17,4,text,0.2562367618083954,795,836,922,899,127,63,False,المتجر,0.9988,1,,,0,paddle,0.9988,المتجر,1,./crops\page_0017\page_0017_004_text.png
page_0017_005_figure_title,page_0017,17,5,figure_title,0.3081570565700531,790,1064,927,1106,137,42,True,ا ة,0.551,1,المادة 7,0.745,1,tesseract,0.745,المادة 7,1,./crops\page_0017\page_0017_005_figure_title.png
page_0017_006_text,page_0017,17,6,text,0.8025380969047546,368,1131,1342,1495,974,364,False," المتجر مجموعة عناصر مادية وغير مادية تهدف إلى ممارسة مهنة تجارية
يشتمل المتجر مبدئياً على الاسم التجاري والعنوان التجاري والشعار وحق
الاتصال بالزبائن وحق الاستئجار المنصوص عليه في قوانين الإيجار الخاصة
وتعديلاتها، والتجهيزات والعدّد الصناعية والأثاث والبراءات والإجازات والرسوم
والنماذج، ما لم يستثن بعض هذه العناصر من محتويات المتجر بالنص على
ذلك فى سجل المتجر أو فى العقود الواردة عليه",0.9473,6,,,0,paddle,0.9473," المتجر مجموعة عناصر مادية وغير مادية تهدف إلى ممارسة مهنة تجارية
يشتمل المتجر مبدئياً على الاسم التجاري والعنوان التجاري والشعار وحق
الاتصال بالزبائن وحق الاستئجار المنصوص عليه في قوانين الإيجار الخاصة
وتعديلاتها، والتجهيزات والعدّد الصناعية والأثاث والبراءات والإجازات والرسوم
والنماذج، ما لم يستثن بعض هذه العناصر من محتويات المتجر بالنص على
ذلك فى سجل المتجر أو فى العقود الواردة عليه",6,./crops\page_0017\page_0017_006_text.png
page_0017_007_figure_title,page_0017,17,7,figure_title,0.5693135261535645,783,1506,932,1549,149,43,True,اا ةة,0.4732,1,المادة 4 6,0.63,1,tesseract,0.63,المادة 4 6,1,./crops\page_0017\page_0017_007_figure_title.png
page_0017_008_text,page_0017,17,8,text,0.779769778251648,369,1567,1341,1729,972,162,False,"إن حقوق صاحب المتجر على مختلف عناصره تنظمها القوانين الخاصة بهذه
العناصر والمبادي الحقوقية العامة
 أما المتجر كمجموعة فيخضع لأحكام هذا القانون",0.9387,3,,,0,paddle,0.9387,"إن حقوق صاحب المتجر على مختلف عناصره تنظمها القوانين الخاصة بهذه
العناصر والمبادي الحقوقية العامة
 أما المتجر كمجموعة فيخضع لأحكام هذا القانون",3,./crops\page_0017\page_0017_008_text.png
page_0017_009_number,page_0017,17,9,number,0.8278786540031433,830,1755,881,1791,51,36,True,١٧,0.4918,1,بف,0.51,1,tesseract,0.51,بف,1,./crops\page_0017\page_0017_009_number.png
